lecture_number,lecture_title,original_pptx,slide_number,possible_slide_title,visible_text
5,Modern CNN,5  - Modern CNN.pptx,1,Modern CNN Architecture,"Modern CNN Architecture
Yifeng Zhu
Electrical and Computer Engineering
University of Maine
1
From Representation to Optimization to Efficiency"
5,Modern CNN,5  - Modern CNN.pptx,2,Overview,"Overview
Part I: Foundations (LeNet →
AlexNet
)
Part II: Depth Hypothesis (VGG)
Part III: Optimization Crisis
Part IV: Residual Learning (
ResNet
)
Part V: The Efficiency and Scaling Era
2
CNN evolution = solving new constraints at each stage."
5,Modern CNN,5  - Modern CNN.pptx,3,Evolution of networks,"Evolution of networks
3
Evolution of Deep Learning Architectures"
5,Modern CNN,5  - Modern CNN.pptx,4,Foundation Era Summary (1998–2014),"Foundation Era Summary (1998–2014)
LeNet (1998): Convolution Works
Impact: Established Conv → Pool → FC pipeline
Local receptive fields
End-to-end backprop
AlexNet
(2012): Deep Learning Scales
Impact: Deep CNNs outperform classical vision methods
GPU training
ReLU
activation
Dropout regularization
Data augmentation
Large-scale ImageNet training
VGG (2014): Depth Matters
Impact: Depth significantly improves representation power
Small 3×3 filters
Increased depth (16–19 layers)
Hierarchical feature learning
4"
5,Modern CNN,5  - Modern CNN.pptx,5,LeNet-5 (1998): The First Successful CNN,"LeNet-5 (1998): The First Successful CNN
Problem: Handwritten digit recognition (MNIST)
70,000 grayscale images
60,000 training
10,000 test
Image size: 28 × 28 pixels
10 classes: digits 0–9
Centered and size-normalized handwritten digits
Used in the original LeNet-5 (1998)
Standard benchmark for early neural networks
Paper: Gradient-Based Learning Applied to Document Recognition Yann LeCun, Léon
Bottou
, Yoshua Bengio, Patrick Haffner (1998)
5"
5,Modern CNN,5  - Modern CNN.pptx,6,LeNet-5 (1998): Why Convolution Works,"LeNet-5 (1998): Why Convolution Works
Paper: Gradient-Based Learning Applied to Document Recognition Yann LeCun, Léon
Bottou
, Yoshua Bengio, Patrick Haffner (1998)
First practical demonstration of convolutional networks
Established the CNN design template: Conv → Pool → Conv → Pool → FC
Foundation for
AlexNet
and all modern CNNs
Key Ideas Introduced
Local receptive fields
Weight sharing
End-to-end gradient training
Subsampling (early pooling)
6"
5,Modern CNN,5  - Modern CNN.pptx,7,AlexNet (2012): Starting Modern Deep Learning,"AlexNet
(2012): Starting Modern Deep Learning
7
ImageNet Classification with Deep Convolutional Neural Networks - Alex
Krizhevsky
, Ilya
Sutskever
, Geoffrey E. Hinton; 2012
Why
AlexNet
Changed Everything
First deep CNN to dominate ImageNet
10%+ absolute Top-5 improvement
Demonstrated GPU +
ReLU
+ data scale synergy
Marked shift from handcrafted features → learned features
1.2M ImageNet images."
5,Modern CNN,5  - Modern CNN.pptx,8,AlexNet Architecture (2012): Large-Scale CNN Design,"AlexNet
Architecture (2012): Large-Scale CNN Design
Why It Was a Turning Point
First deep CNN to win ImageNet
8 learned layers, 60M parameters
Trained on GPUs (Two GTX 580 GPUs, each with only 3 GB of memory)
10× performance improvement over classical CV
8
What Changed in 2012?
ReLU
enabled faster convergence
Dropout reduced overfitting
Data augmentation at scale
Large labeled dataset (ImageNet)"
5,Modern CNN,5  - Modern CNN.pptx,9,Inside AlexNet: Layer Configuration and Feature Maps,"Inside
AlexNet
: Layer Configuration and Feature Maps
[
Krizhevsky
et al
.,
2012
]
. . .
227
×
227
×
3
55
×
55
×
9
6
27
×
27
×
96
27
×
27
×
256
13
×
13
×
256
13
×
13
×
384
13
×
13
×
384
13
×
13
×
256
6
×
6
×
256
11
×
11
s = 4
P = 0
3
×
3
s = 2
max pool
5
×
5
S = 1
P = 2
3
×
3
s = 2
max pool
3
×
3
S = 1
P = 1
3
×
3
s = 1
P = 1
3
×
3
S = 1
P = 1
3
×
3
s = 2
max pool
conv
conv
conv
conv
conv
. . .
. . .
9"
5,Modern CNN,5  - Modern CNN.pptx,10,AlexNet,"DROPOUT =
0.5
N_CATEGORY =
1000
model_input
=
layers.Input
(shape = (
227
,
227
,
3
))
# First convolutional Layer (96x11x11)
z = layers.Conv2D(filters =
96
,
kernel_size
= (
11
,
11
), strides = (
4
,
4
), activation =
""
relu
""
)(
model_input
)
z = layers.MaxPooling2D(
pool_size
= (
3
,
3
), strides=(
2
,
2
))(z)
z =
layers.BatchNormalization
()(z)
# Second convolutional Layer (256x5x5)
z = layers.ZeroPadding2D(padding = (
2
,
2
))(z)
z = layers.Convolution2D(filters =
256
,
kernel_size
= (
5
,
5
), strides = (
1
,
1
), activation =
""
relu
""
)(z)
z = layers.MaxPooling2D(
pool_size
= (
3
,
3
), strides=(
2
,
2
))(z)
z =
layers.BatchNormalization
()(z)
# Rest 3 convolutional layers
z = layers.ZeroPadding2D(padding = (
1
,
1
))(z)
z = layers.Convolution2D(filters =
384
,
kernel_size
= (
3
,
3
), strides = (
1
,
1
), activation =
""
relu
""
)(z)
z = layers.ZeroPadding2D(padding = (
1
,
1
))(z)
z = layers.Convolution2D(filters =
384
,
kernel_size
= (
3
,
3
), strides = (
1
,
1
), activation =
""
relu
""
)(z)
z = layers.ZeroPadding2D(padding = (
1
,
1
))(z)
z = layers.Convolution2D(filters =
256
,
kernel_size
= (
3
,
3
), strides = (
1
,
1
), activation =
""
relu
""
)(z)
z = layers.MaxPooling2D(
pool_size
= (
3
,
3
), strides=(
2
,
2
))(z)
z =
layers.Flatten
()(z)
z =
layers.Dense
(
4096
, activation=
""
relu
""
)(z)
z =
layers.Dropout
(DROPOUT)(z)
z =
layers.Dense
(
4096
, activation=
""
relu
""
)(z)
z =
layers.Dropout
(DROPOUT)(z)
final_dim
=
1
if
N_CATEGORY ==
2
else
N_CATEGORY
final_act
=
""sigmoid""
if
N_CATEGORY ==
2
else
""
softmax
""
model_output
=
layers.Dense
(
final_dim
, activation=
final_act
)(z)
model =
keras.Model
(
model_input
,
model_output
)
model.summary
()
https://colab.research.google.com/drive/1eNWhgg1NMNLJe4d0B7CzKJ8JS9C7WlV4?usp=sharing
_________________________________________________________________
Layer (type) Output Shape Param #
=================================================================
input (
InputLayer
) [(None, 227, 227, 3)] 0
_________________________________________________________________
conv2d_15 (Conv2D) (None, 55, 55, 96) 34944
_________________________________________________________________
max_pooling2d_9 (MaxPooling2 (None, 27, 27, 96) 0
_________________________________________________________________
batch_normalization_6 (Batch (None, 27, 27, 96) 384
_________________________________________________________________
zero_padding2d_12 (
ZeroPaddi
(None, 31, 31, 96) 0
_________________________________________________________________
conv2d_16 (Conv2D) (None, 27, 27, 256) 614656
_________________________________________________________________
max_pooling2d_10 (
MaxPooling
(None, 13, 13, 256) 0
_________________________________________________________________
batch_normalization_7 (Batch (None, 13, 13, 256) 1024
_________________________________________________________________
zero_padding2d_13 (
ZeroPaddi
(None, 15, 15, 256) 0
_________________________________________________________________
conv2d_17 (Conv2D) (None, 13, 13, 384) 885120 ______________________________________________________________
zero_padding2d_14 (
ZeroPaddi
(None, 15, 15, 384) 0
_________________________________________________________________
conv2d_18 (Conv2D) (None, 13, 13, 384) 1327488
_________________________________________________________________
zero_padding2d_15 (
ZeroPaddi
(None, 15, 15, 384) 0
_________________________________________________________________
conv2d_19 (Conv2D) (None, 13, 13, 256) 884992
_________________________________________________________________
max_pooling2d_11 (
MaxPooling
(None, 6, 6, 256) 0
_________________________________________________________________
flatten_3 (Flatten) (None, 9216) 0
_________________________________________________________________
dense_8 (Dense) (None, 4096) 37752832
_________________________________________________________________
dropout_6 (Dropout) (None, 4096) 0
_________________________________________________________________
dense_9 (Dense) (None, 4096) 16781312
_________________________________________________________________
dropout_7 (Dropout) (None, 4096) 0
_________________________________________________________________
dense_10 (Dense) (None, 1000) 4097000
=================================================================
Total params: 62,379,752
Trainable params: 62,379,048
Non-trainable params: 704
AlexNet
10"
5,Modern CNN,5  - Modern CNN.pptx,11,Simplified AlexNet in PyTorch (Teaching Version),"Simplified
AlexNet
in
PyTorch
(Teaching Version)
class
AlexNet
(
nn.Module
):
def __
init
__(self,
num_classes
=1000):
super(
AlexNet
, self).__
init
__()
self.
features
=
nn.Sequential
(
nn.
Conv2d
(3, 96,
kernel_size
=11, stride=4, padding=0),
nn.
ReLU
(
inplace
=True),
nn.
MaxPool2d
(
kernel_size
=3, stride=2),
nn.
Conv2d
(96, 256,
kernel_size
=5, padding=2),
nn.
ReLU
(
inplace
=True),
nn.
MaxPool2d
(
kernel_size
=3, stride=2),
)
self.
classifier
=
nn.Sequential
(
nn.
Dropout
(0.5),
nn.
Linear
(256 * 6 * 6, 4096),
nn.
ReLU
(
inplace
=True),
nn.
Dropout
(0.5),
nn.
Linear
(4096, 4096),
nn.
ReLU
(
inplace
=True),
nn.
Linear
(4096,
num_classes
),
)
def forward(self, x):
x =
self.features
(x)
x =
torch.flatten
(x, 1)
x =
self.classifier
(x)
return x
11
Input: (3, 227, 227) → (96,55,55) → ...→ Output: (1000 classes)
AlexNet
Architecture = Feature Extractor (Conv Stack) + Classifier (FC Layers)
Key Implementation Details
ReLU
replaces tanh (faster convergence)
Dropout = 0.5 for regularization
No
BatchNorm
in original paper
Final layer outputs logits (
Softmax
applied in loss)
criterion =
nn.CrossEntropyLoss
()
outputs = model(x) # raw logits
loss = criterion(outputs, labels)
But for prediction you don’t even need
softmax
:
pred =
torch.argmax
(outputs, dim=1)"
5,Modern CNN,5  - Modern CNN.pptx,12,Modernized AlexNet-Style CNN (Simplified),"Modernized
AlexNet
-Style CNN (Simplified)
class
AlexNet
(
nn.Module
):
def __
init
__(self,
num_classes
=1000):
super(
AlexNet
, self).__
init
__()
self.features
=
nn.Sequential
(
# Block 1
nn.Conv2d(3, 64,
kernel_size
=3
, stride=2, padding=1),
nn.BatchNorm2d(64),
nn.ReLU
(
inplace
=True),
nn.MaxPool2d(2),
# Block 2
nn.Conv2d(64, 128,
kernel_size
=3,
padding=1),
nn.BatchNorm2d(128),
nn.ReLU
(
inplace
=True),
nn.MaxPool2d(2),
)
# Global Average Pooling
self.
global_pool
= nn.
AdaptiveAvgPool2d
((1, 1))
# Small classifier
self.classifier
=
nn.Linear
(128,
num_classes
)
def forward(self, x):
x =
self.features
(x)
x =
self.global_pool
(x)
x =
torch.flatten
(x, 1)
x =
self.classifier
(x)
return x
12
AlexNet
was groundbreaking in 2012, but we would not build it the same way now.
Improvements:
Add
BatchNorm
Stabilizes training
Allows higher learning rates
Stabilizes intermediate activation distributions during training → Makes optimization easier and faster
Replace FC layers with
Global Average Pooling (GAP)
Massive parameter reduction
Less overfitting
Better spatial invariance
Use smaller kernels (VGG style)"
5,Modern CNN,5  - Modern CNN.pptx,13,Global Average Pooling (GAP),"Global Average Pooling (GAP)
13
Intuition:
Each channel detects something:
Channel 1 → wheels
Channel 2 → windows
Channel 3 → edges
…
Global average pooling asks:
How strongly did this feature appear anywhere in the image?
Why This Works
Each channel represents a semantic detector
GAP measures global presence strength
Eliminates 100M+ FC parameters (VGG)
Improves translation robustness"
5,Modern CNN,5  - Modern CNN.pptx,14,Global Average Pooling Enables Variable Input Size,"Global Average Pooling Enables Variable Input Size
14
Why This Matters
Works with different image resolutions
Removes fixed 7×7 constraint (unlike VGG)
Eliminates need for flattening
Makes the network fully convolutional
Global Average Pooling decouples classification from spatial resolution."
5,Modern CNN,5  - Modern CNN.pptx,15,Batch Normalization,"Batch Normalization
15
In CNNs, normalization is performed independently per channel, using statistics aggregated over batch and spatial dimensions (B × H × W).
BatchNorm
in Fully Connected Layers (B, D)
BatchNorm
in Convolutional Layers (B, C, H, W)"
